iteration, loss, accuracy
10000, 0.012859, 0.24000
20000, 0.012962, 0.16000
30000, 0.012780, 0.22000
40000, 0.012387, 0.30000
50000, 0.012836, 0.12000
60000, 0.012044, 0.26000
70000, 0.011435, 0.36000
80000, 0.011135, 0.28000
90000, 0.010702, 0.46000
100000, 0.011152, 0.36000
110000, 0.010006, 0.36000
120000, 0.011131, 0.36000
130000, 0.012019, 0.26000
140000, 0.010154, 0.38000
150000, 0.009695, 0.48000
160000, 0.008914, 0.54000
170000, 0.010535, 0.40000
180000, 0.010458, 0.40000
190000, 0.009308, 0.50000
200000, 0.009712, 0.46000
210000, 0.010258, 0.30000
220000, 0.010509, 0.36000
230000, 0.004187, 0.82000
240000, 0.008690, 0.52000
250000, 0.009264, 0.48000
260000, 0.009526, 0.50000
270000, 0.009295, 0.52000
280000, 0.010606, 0.38000
290000, 0.009152, 0.40000
300000, 0.008026, 0.58000
310000, 0.007675, 0.60000
320000, 0.007762, 0.60000
330000, 0.008138, 0.60000
340000, 0.008625, 0.56000
350000, 0.008995, 0.50000
360000, 0.009271, 0.50000
370000, 0.008515, 0.52000
380000, 0.007766, 0.66000
390000, 0.006638, 0.66000
400000, 0.007261, 0.66000
410000, 0.008511, 0.56000
420000, 0.005734, 0.80000
430000, 0.007048, 0.74000
440000, 0.008192, 0.60000
450000, 0.007941, 0.64000
460000, 0.003187, 0.86000
470000, 0.006555, 0.66000
480000, 0.006134, 0.64000
490000, 0.007086, 0.66000
500000, 0.006297, 0.72000
510000, 0.007495, 0.64000
520000, 0.006464, 0.74000
530000, 0.005163, 0.80000
540000, 0.004679, 0.80000
550000, 0.004087, 0.86000
560000, 0.004562, 0.86000
570000, 0.006121, 0.74000
580000, 0.006002, 0.72000
590000, 0.025542, 0.08000
600000, 0.015845, 0.32000
610000, 0.013904, 0.34000
620000, 0.012948, 0.36000
630000, 0.013293, 0.30000
640000, 0.013165, 0.38000
650000, 0.012365, 0.38000
660000, 0.012627, 0.32000
670000, 0.012779, 0.28000
680000, 0.012739, 0.30000
690000, 0.012981, 0.10000
700000, 0.011318, 0.40000
710000, 0.011834, 0.32000
720000, 0.012208, 0.36000
730000, 0.011502, 0.36000
740000, 0.012342, 0.20000
750000, 0.011586, 0.32000
760000, 0.010879, 0.42000
770000, 0.010792, 0.38000
780000, 0.010264, 0.46000
790000, 0.010671, 0.40000
800000, 0.010692, 0.38000
810000, 0.010835, 0.34000
820000, 0.012368, 0.20000
830000, 0.010369, 0.42000
840000, 0.010009, 0.44000
850000, 0.008501, 0.54000
860000, 0.009863, 0.42000
870000, 0.010542, 0.42000
880000, 0.008917, 0.48000
890000, 0.010359, 0.50000
900000, 0.010090, 0.34000
910000, 0.010153, 0.44000
920000, 0.006514, 0.76000
930000, 0.008660, 0.50000
940000, 0.009605, 0.42000
950000, 0.009496, 0.46000
960000, 0.008801, 0.58000
970000, 0.010116, 0.38000
980000, 0.008590, 0.54000
990000, 0.008017, 0.62000
1000000, 0.007638, 0.64000
1010000, 0.007543, 0.56000
1020000, 0.007968, 0.62000
1030000, 0.008669, 0.56000
1040000, 0.008766, 0.52000
1050000, 0.009353, 0.44000
1060000, 0.007619, 0.56000
1070000, 0.007008, 0.64000
1080000, 0.005754, 0.70000
1090000, 0.006857, 0.60000
1100000, 0.007553, 0.60000
1110000, 0.005037, 0.82000
1120000, 0.006381, 0.72000
1130000, 0.006700, 0.68000
1140000, 0.006829, 0.64000
1150000, 0.002931, 0.88000
1160000, 0.006091, 0.76000
1170000, 0.005649, 0.74000
1180000, 0.005728, 0.70000
1190000, 0.005061, 0.78000
1200000, 0.006961, 0.70000
1210000, 0.005311, 0.82000
1220000, 0.004546, 0.80000
1230000, 0.004106, 0.82000
1240000, 0.004069, 0.84000
1250000, 0.004577, 0.86000
1260000, 0.006105, 0.72000
1270000, 0.005063, 0.74000
1280000, 0.004725, 0.78000
1290000, 0.004592, 0.82000
1300000, 0.004491, 0.84000
1310000, 0.003339, 0.86000
1320000, 0.005281, 0.76000
1330000, 0.006097, 0.74000
1340000, 0.003171, 0.88000
1350000, 0.004379, 0.80000
1360000, 0.003951, 0.86000
1370000, 0.004890, 0.76000
1380000, 0.003322, 0.96000
